Province,Time,Cost,Gross margin
Xinjiang,3/1/21,16269,310
Shandong,3/1/21,15798,-284.29
Inner Mongolia,3/1/21,16147,-22.34
Liaoning,3/1/21,16152,145
Jiangsu,3/1/21,16215,
Hubei,3/1/21,16219,
Henan,3/1/21,15686,
Hebei,3/1/21,16111,
Guizhou,3/1/21,16225,
Guangxi,3/1/21,16215,
Xinjiang,2/1/21,16187,213
Shandong,2/1/21,15736,-317.34
Inner Mongolia,2/1/21,16066,-172.67
Liaoning,2/1/21,16149,-349
Jiangsu,2/1/21,16140,
Hubei,2/1/21,16152,
Henan,2/1/21,15634,
Hebei,2/1/21,16056,
Guizhou,2/1/21,16200,
Guangxi,2/1/21,15988,
Xinjiang,1/1/21,15818,526
Shandong,1/1/21,15586.67,69.88
Inner Mongolia,1/1/21,15757.67,306.32
Liaoning,1/1/21,15955,106
Jiangsu,1/1/21,15941,
Hubei,1/1/21,15740,
Henan,1/1/21,15563,
Hebei,1/1/21,15942,
Guizhou,1/1/21,15897,
Guangxi,1/1/21,15563,
Xinjiang,12/1/20,15466.67,955
Shandong,12/1/20,15308.67,281.44
Inner Mongolia,12/1/20,15480,624.67
Liaoning,12/1/20,15685,569
Jiangsu,12/1/20,15541,
Hubei,12/1/20,15435,
Henan,12/1/20,15451,
Hebei,12/1/20,15675,
Guizhou,12/1/20,15482,
Guangxi,12/1/20,15199.67,
Xinjiang,11/1/20,15070.67,920
Shandong,11/1/20,15108.67,517.22
Inner Mongolia,11/1/20,15227,653.33
Liaoning,11/1/20,15303,400
Jiangsu,11/1/20,15251,
Hubei,11/1/20,15205,
Henan,11/1/20,15283,
Guizhou,11/1/20,15293,
Guangxi,11/1/20,15133.67,
Xinjiang,10/1/20,14829.67,120
Shandong,10/1/20,14807.67,-151.33
Inner Mongolia,10/1/20,14983.67,112.33
Liaoning,10/1/20,14914,182
Jiangsu,10/1/20,15031,
Hubei,10/1/20,15081,
Henan,10/1/20,14900,
Guizhou,10/1/20,15048,
Guangxi,10/1/20,14945.67,
Xinjiang,9/1/20,14671.67,434
Shandong,9/1/20,14671.67,159.26
Inner Mongolia,9/1/20,14779.67,409.67
Liaoning,9/1/20,14780,381
Jiangsu,9/1/20,14888,
Hubei,9/1/20,14930,
Henan,9/1/20,14860,
Guizhou,9/1/20,14822,
Guangxi,9/1/20,14816.33,
Xinjiang,8/1/20,14622.67,600
Shandong,8/1/20,14527.67,40
Inner Mongolia,8/1/20,14649.67,248.33
Liaoning,8/1/20,14648,380
Jiangsu,8/1/20,14808,
Hubei,8/1/20,14838,
Henan,8/1/20,14740,
Guizhou,8/1/20,14725,
Guangxi,8/1/20,14608.67,
Xinjiang,7/1/20,14571.33,430
Shandong,7/1/20,14440.67,200
Inner Mongolia,7/1/20,14467.67,380
Liaoning,7/1/20,14468,705
Jiangsu,7/1/20,14408,
Hubei,7/1/20,14708,
Henan,7/1/20,14733,
Guizhou,7/1/20,14655,
Guangxi,7/1/20,14425,
Xinjiang,6/1/20,14318.67,230
Shandong,6/1/20,14359.33,-55
Inner Mongolia,6/1/20,14340.67,180
Liaoning,6/1/20,14316,365
Jiangsu,6/1/20,14253,
Hubei,6/1/20,14073,
Henan,6/1/20,14533,
Guizhou,6/1/20,14698,
Guangxi,6/1/20,14475,
Xinjiang,5/1/20,14045,30
Shandong,5/1/20,14143.67,-65
Inner Mongolia,5/1/20,14274.33,131
Liaoning,5/1/20,14238,35
Jiangsu,5/1/20,14278,
Hubei,5/1/20,13998,
Henan,5/1/20,13825,
Guizhou,5/1/20,14478,
Guangxi,5/1/20,14620,